Orthogroup	acastellanii_braker	vvermcdc19_braker
OG0000275	acastellanii_g901.t1, acastellanii_g148.t1, acastellanii_g3527.t1	vverm_g11203.t2, vverm_g11203.t1
OG0000275	acastellanii_g12192.t2, acastellanii_g12192.t1	vverm_g14840.t1
OG0000276	acastellanii_g3730.t1, acastellanii_g3730.t2, acastellanii_g3729.t1, acastellanii_g11430.t1, acastellanii_g1977.t1, acastellanii_g10481.t1, acastellanii_g10481.t2, acastellanii_g1140.t1, acastellanii_g3400.t1	vverm_g1707.t1
OG0000277	acastellanii_g2979.t1, acastellanii_g7045.t1	vverm_g16787.t1, vverm_g5811.t1, vverm_g4220.t1
OG0000277	acastellanii_g10680.t1, acastellanii_g9056.t1, acastellanii_g5989.t1	vverm_g802.t1, vverm_g15210.t1
OG0000278	acastellanii_g2335.t1, acastellanii_g4494.t1, acastellanii_g8020.t1	vverm_g15824.t1, vverm_g3273.t1
OG0000290	acastellanii_g1516.t1, acastellanii_g2549.t1	vverm_g6292.t1
OG0000290	acastellanii_g807.t3, acastellanii_g807.t2, acastellanii_g807.t1	vverm_g12417.t1
OG0000290	acastellanii_g13636.t1	vverm_g7080.t1
OG0000291	acastellanii_g388.t1	vverm_g4450.t1
OG0000291	acastellanii_g13974.t3	vverm_g8992.t1
OG0000292	acastellanii_g13989.t1, acastellanii_g2169.t1, acastellanii_g4249.t1, acastellanii_g8245.t1	vverm_g15886.t1, vverm_g3762.t1, vverm_g3208.t1, vverm_g16254.t2, vverm_g16254.t1
OG0000293	acastellanii_g13182.t1	vverm_g3953.t1
OG0000294	acastellanii_g11533.t1, acastellanii_g13211.t1, acastellanii_g13211.t2, acastellanii_g13211.t3, acastellanii_g12848.t1, acastellanii_g12848.t2, acastellanii_g91.t1, acastellanii_g691.t1, acastellanii_g8541.t1	vverm_g11375.t2, vverm_g11375.t1
OG0000295	acastellanii_g9635.t2, acastellanii_g9635.t1, acastellanii_g12656.t1	vverm_g15482.t1
OG0000295	acastellanii_g7266.t1	vverm_g9113.t1
OG0000296	acastellanii_g12038.t2, acastellanii_g12038.t1, acastellanii_g3684.t1	vverm_g9926.t2, vverm_g9926.t1
OG0000296	acastellanii_g3166.t1	vverm_g324.t1, vverm_g598.t1
OG0000297	acastellanii_g4514.t1, acastellanii_g5985.t1, acastellanii_g2399.t1	vverm_g8043.t1
OG0000297	acastellanii_g3067.t1, acastellanii_g12198.t1	vverm_g11544.t1
OG0000297	acastellanii_g1310.t2, acastellanii_g1310.t1	vverm_g5552.t1, vverm_g3484.t1
OG0000298	acastellanii_g10810.t1, acastellanii_g11576.t1, acastellanii_g11576.t2, acastellanii_g9374.t2, acastellanii_g9374.t1	vverm_g6606.t1
OG0000299	acastellanii_g1723.t1	vverm_g364.t1
OG0000299	acastellanii_g5005.t1, acastellanii_g5013.t2, acastellanii_g5013.t1	vverm_g6820.t1
OG0000325	acastellanii_g2260.t1, acastellanii_g11861.t1	vverm_g5269.t1
OG0000325	acastellanii_g4462.t1, acastellanii_g13666.t1, acastellanii_g10787.t1, acastellanii_g11025.t1, acastellanii_g4084.t1, acastellanii_g4076.t1	vverm_g12396.t1, vverm_g12396.t2
OG0000327	acastellanii_g11044.t1, acastellanii_g4111.t1, acastellanii_g12565.t2, acastellanii_g12565.t1, acastellanii_g1111.t1, acastellanii_g10250.t1, acastellanii_g11601.t1	vverm_g4320.t1, vverm_g6357.t1, vverm_g6356.t1, vverm_g6490.t1, vverm_g174.t1, vverm_g16218.t1, vverm_g7839.t1, vverm_g10350.t3, vverm_g10350.t2, vverm_g10350.t1
OG0000328	acastellanii_g9111.t2, acastellanii_g9111.t1	vverm_g8403.t1, vverm_g7263.t1, vverm_g4153.t1, vverm_g4153.t2, vverm_g3430.t1, vverm_g2037.t1
OG0000329	acastellanii_g2463.t1, acastellanii_g12079.t1, acastellanii_g6253.t1, acastellanii_g7964.t1, acastellanii_g2153.t1, acastellanii_g2870.t1, acastellanii_g3498.t1	vverm_g16785.t1
OG0000330	acastellanii_g12110.t1, acastellanii_g3198.t1, acastellanii_g6845.t4, acastellanii_g519.t2, acastellanii_g519.t1, acastellanii_g9419.t1, acastellanii_g6845.t1, acastellanii_g6845.t3, acastellanii_g6845.t2, acastellanii_g2036.t1	vverm_g166.t1
OG0000331	acastellanii_g6319.t1	vverm_g14561.t1
OG0000331	acastellanii_g3659.t1	vverm_g15866.t1, vverm_g15866.t3
OG0000331	acastellanii_g11076.t1	vverm_g9592.t1
OG0000333	acastellanii_g8728.t1	vverm_g5641.t1
OG0000335	acastellanii_g7999.t1	vverm_g16773.t1, vverm_g13293.t1, vverm_g10879.t1
OG0000336	acastellanii_g7787.t1	vverm_g26.t1, vverm_g26.t2, vverm_g7417.t1, vverm_g13321.t1, vverm_g12476.t1, vverm_g13123.t1, vverm_g13033.t2, vverm_g13033.t1
OG0000356	acastellanii_g13972.t1, acastellanii_g3743.t1, acastellanii_g2322.t1, acastellanii_g12931.t1, acastellanii_g7244.t1, acastellanii_g7371.t2, acastellanii_g7371.t1, acastellanii_g7042.t1	vverm_g8907.t1, vverm_g7885.t1
OG0000357	acastellanii_g3289.t1, acastellanii_g13518.t1, acastellanii_g119.t1, acastellanii_g3124.t1	vverm_g5090.t2, vverm_g5090.t1, vverm_g15704.t1
OG0000358	acastellanii_g10962.t1, acastellanii_g13187.t1, acastellanii_g13187.t2	vverm_g12979.t2, vverm_g12979.t1, vverm_g15965.t1, vverm_g15965.t2
OG0000359	acastellanii_g3759.t1, acastellanii_g3761.t1	vverm_g11690.t1
OG0000359	acastellanii_g7641.t1, acastellanii_g13307.t1, acastellanii_g11328.t1, acastellanii_g5400.t1	vverm_g15444.t1
