Orthogroup	Duplications (all)	Duplications (50% support)
OG0001249	4	4
OG0001250	4	4
OG0001251	4	4
OG0001252	1	1
OG0001253	3	3
OG0001254	4	4
OG0001255	5	5
OG0001256	3	3
OG0001257	2	2
OG0001258	4	4
OG0001259	4	4
OG0001260	7	7
OG0001261	4	4
OG0001262	4	4
OG0001263	5	5
OG0001264	1	1
OG0001265	3	3
OG0001266	3	3
OG0001267	4	4
OG0001268	3	3
OG0001269	4	4
OG0001270	4	4
OG0001271	3	3
OG0001272	3	3
OG0001273	4	4
OG0001274	6	6
OG0001275	5	5
OG0001276	6	6
OG0001277	3	3
OG0001278	4	4
OG0001279	5	5
OG0001280	6	6
OG0001281	6	6
OG0001282	7	7
OG0001283	4	4
OG0001284	7	7
OG0001285	6	6
OG0001286	4	4
OG0001287	5	5
OG0001288	4	4
OG0001289	7	7
OG0001290	6	6
OG0001291	4	4
OG0001292	6	6
OG0001293	4	4
OG0001294	6	6
OG0001295	3	3
OG0001296	6	6
OG0001297	5	5
OG0001298	5	5
OG0001299	6	6
OG0001300	4	4
OG0001301	5	5
OG0001302	7	7
OG0001303	7	7
OG0001304	7	7
OG0001305	4	4
OG0001306	2	2
OG0001307	2	2
OG0001308	5	5
OG0001309	4	4
OG0001310	7	7
OG0001311	4	4
OG0001312	4	4
OG0001313	6	6
OG0001314	6	6
OG0001315	5	5
OG0001316	5	5
OG0001317	8	8
OG0001318	6	6
OG0001319	6	6
OG0001320	5	5
OG0001321	7	7
OG0001322	7	7
OG0001323	3	3
OG0001324	5	5
OG0001325	4	4
OG0001326	3	3
OG0001327	4	4
OG0001328	4	4
OG0001329	6	6
OG0001330	5	5
OG0001331	8	8
OG0001332	8	8
OG0001333	8	8
OG0001334	8	8
OG0001335	8	8
OG0001336	8	8
OG0001337	8	8
OG0001338	8	8
OG0001339	8	8
OG0001340	8	8
OG0001341	8	8
OG0001342	8	8
OG0001343	8	8
OG0001344	8	8
OG0001345	8	8
OG0001346	8	8
OG0001347	8	8
OG0001348	8	8
OG0001349	8	8
OG0001350	8	8
OG0001351	8	8
OG0001352	8	8
OG0001353	8	8
OG0001354	8	8
OG0001355	8	8
OG0001356	8	8
OG0001357	8	8
OG0001358	8	8
OG0001359	8	8
OG0001360	8	8
OG0001361	8	8
OG0001362	8	8
OG0001363	8	8
OG0001364	8	8
OG0001365	8	8
OG0001366	8	8
OG0001367	8	8
OG0001368	8	8
OG0001369	5	5
OG0001370	3	3
OG0001371	3	3
OG0001372	3	3
OG0001373	7	7
OG0001374	3	3
OG0001375	3	3
OG0001376	2	2
OG0001377	4	4
OG0001378	2	2
OG0001379	4	3
OG0001380	2	2
OG0001381	2	2
OG0001382	7	7
OG0001383	7	7
OG0001384	1	1
OG0001385	3	3
OG0001386	4	3
