Orthogroup	vvermcdc19_braker	acastellanii_braker
OG0000290	vverm_g7080.t1	acastellanii_g13636.t1
OG0000291	vverm_g4450.t1	acastellanii_g388.t1
OG0000291	vverm_g8992.t1	acastellanii_g13974.t3
OG0000292	vverm_g15886.t1, vverm_g3762.t1, vverm_g3208.t1, vverm_g16254.t2, vverm_g16254.t1	acastellanii_g13989.t1, acastellanii_g2169.t1, acastellanii_g4249.t1, acastellanii_g8245.t1
OG0000293	vverm_g3953.t1	acastellanii_g13182.t1
OG0000294	vverm_g11375.t2, vverm_g11375.t1	acastellanii_g11533.t1, acastellanii_g13211.t1, acastellanii_g13211.t2, acastellanii_g13211.t3, acastellanii_g12848.t1, acastellanii_g12848.t2, acastellanii_g91.t1, acastellanii_g691.t1, acastellanii_g8541.t1
OG0000295	vverm_g15482.t1	acastellanii_g9635.t2, acastellanii_g9635.t1, acastellanii_g12656.t1
OG0000295	vverm_g9113.t1	acastellanii_g7266.t1
OG0000296	vverm_g9926.t2, vverm_g9926.t1	acastellanii_g12038.t2, acastellanii_g12038.t1, acastellanii_g3684.t1
OG0000296	vverm_g324.t1, vverm_g598.t1	acastellanii_g3166.t1
OG0000297	vverm_g8043.t1	acastellanii_g4514.t1, acastellanii_g5985.t1, acastellanii_g2399.t1
OG0000297	vverm_g11544.t1	acastellanii_g3067.t1, acastellanii_g12198.t1
OG0000297	vverm_g5552.t1, vverm_g3484.t1	acastellanii_g1310.t2, acastellanii_g1310.t1
OG0000298	vverm_g6606.t1	acastellanii_g10810.t1, acastellanii_g11576.t1, acastellanii_g11576.t2, acastellanii_g9374.t2, acastellanii_g9374.t1
OG0000299	vverm_g364.t1	acastellanii_g1723.t1
OG0000299	vverm_g6820.t1	acastellanii_g5005.t1, acastellanii_g5013.t2, acastellanii_g5013.t1
OG0000325	vverm_g5269.t1	acastellanii_g2260.t1, acastellanii_g11861.t1
OG0000325	vverm_g12396.t1, vverm_g12396.t2	acastellanii_g4462.t1, acastellanii_g13666.t1, acastellanii_g10787.t1, acastellanii_g11025.t1, acastellanii_g4084.t1, acastellanii_g4076.t1
OG0000327	vverm_g4320.t1, vverm_g6357.t1, vverm_g6356.t1, vverm_g6490.t1, vverm_g174.t1, vverm_g16218.t1, vverm_g7839.t1, vverm_g10350.t3, vverm_g10350.t2, vverm_g10350.t1	acastellanii_g11044.t1, acastellanii_g4111.t1, acastellanii_g12565.t2, acastellanii_g12565.t1, acastellanii_g1111.t1, acastellanii_g10250.t1, acastellanii_g11601.t1
OG0000328	vverm_g8403.t1, vverm_g7263.t1, vverm_g4153.t1, vverm_g4153.t2, vverm_g3430.t1, vverm_g2037.t1	acastellanii_g9111.t2, acastellanii_g9111.t1
OG0000329	vverm_g16785.t1	acastellanii_g2463.t1, acastellanii_g12079.t1, acastellanii_g6253.t1, acastellanii_g7964.t1, acastellanii_g2153.t1, acastellanii_g2870.t1, acastellanii_g3498.t1
OG0000330	vverm_g166.t1	acastellanii_g12110.t1, acastellanii_g3198.t1, acastellanii_g6845.t4, acastellanii_g519.t2, acastellanii_g519.t1, acastellanii_g9419.t1, acastellanii_g6845.t1, acastellanii_g6845.t3, acastellanii_g6845.t2, acastellanii_g2036.t1
OG0000331	vverm_g14561.t1	acastellanii_g6319.t1
OG0000331	vverm_g15866.t1, vverm_g15866.t3	acastellanii_g3659.t1
OG0000331	vverm_g9592.t1	acastellanii_g11076.t1
OG0000333	vverm_g5641.t1	acastellanii_g8728.t1
OG0000335	vverm_g16773.t1, vverm_g13293.t1, vverm_g10879.t1	acastellanii_g7999.t1
OG0000336	vverm_g26.t1, vverm_g26.t2, vverm_g7417.t1, vverm_g13321.t1, vverm_g12476.t1, vverm_g13123.t1, vverm_g13033.t2, vverm_g13033.t1	acastellanii_g7787.t1
OG0000356	vverm_g8907.t1, vverm_g7885.t1	acastellanii_g13972.t1, acastellanii_g3743.t1, acastellanii_g2322.t1, acastellanii_g12931.t1, acastellanii_g7244.t1, acastellanii_g7371.t2, acastellanii_g7371.t1, acastellanii_g7042.t1
OG0000357	vverm_g5090.t2, vverm_g5090.t1, vverm_g15704.t1	acastellanii_g3289.t1, acastellanii_g13518.t1, acastellanii_g119.t1, acastellanii_g3124.t1
OG0000358	vverm_g12979.t2, vverm_g12979.t1, vverm_g15965.t1, vverm_g15965.t2	acastellanii_g10962.t1, acastellanii_g13187.t1, acastellanii_g13187.t2
OG0000359	vverm_g11690.t1	acastellanii_g3759.t1, acastellanii_g3761.t1
OG0000359	vverm_g15444.t1	acastellanii_g7641.t1, acastellanii_g13307.t1, acastellanii_g11328.t1, acastellanii_g5400.t1
OG0000360	vverm_g2755.t1, vverm_g8084.t1, vverm_g7993.t1, vverm_g10091.t1	acastellanii_g13402.t1
OG0000361	vverm_g8404.t1	acastellanii_g12470.t1
OG0000361	vverm_g16239.t1, vverm_g16239.t2	acastellanii_g13039.t1, acastellanii_g11380.t1
OG0000362	vverm_g9150.t1	acastellanii_g1131.t1, acastellanii_g529.t1, acastellanii_g5621.t1, acastellanii_g5604.t1, acastellanii_g10924.t1, acastellanii_g10924.t2, acastellanii_g1475.t1, acastellanii_g11978.t1, acastellanii_g2841.t1, acastellanii_g2636.t1
OG0000363	vverm_g8048.t1	acastellanii_g8363.t1
OG0000363	vverm_g5653.t2, vverm_g5653.t1	acastellanii_g11620.t5, acastellanii_g11620.t1, acastellanii_g11620.t3, acastellanii_g11620.t4, acastellanii_g11620.t2
OG0000364	vverm_g7829.t1	acastellanii_g3719.t1
OG0000364	vverm_g13782.t1	acastellanii_g11509.t1, acastellanii_g539.t1
OG0000364	vverm_g10184.t1	acastellanii_g4641.t1
OG0000365	vverm_g8711.t1, vverm_g7495.t1, vverm_g1628.t1, vverm_g12441.t1, vverm_g12441.t2	acastellanii_g10426.t1, acastellanii_g11414.t2, acastellanii_g11414.t1
OG0000367	vverm_g1474.t1, vverm_g1474.t2, vverm_g9023.t1, vverm_g7211.t1, vverm_g2415.t2, vverm_g2415.t1	acastellanii_g10499.t1, acastellanii_g9934.t1, acastellanii_g9935.t1
OG0000368	vverm_g2728.t1, vverm_g6074.t1	acastellanii_g9703.t1, acastellanii_g9703.t2, acastellanii_g6726.t2, acastellanii_g6726.t1
OG0000369	vverm_g12598.t1	acastellanii_g1518.t1
OG0000369	vverm_g13342.t1	acastellanii_g8865.t1, acastellanii_g8869.t1, acastellanii_g8866.t1, acastellanii_g8867.t1, acastellanii_g8870.t1, acastellanii_g8875.t1
OG0000370	vverm_g7851.t1, vverm_g237.t1	acastellanii_g8606.t3, acastellanii_g8606.t2, acastellanii_g8606.t1
OG0000371	vverm_g2580.t1, vverm_g4528.t1, vverm_g45.t1	acastellanii_g7584.t1, acastellanii_g2283.t1, acastellanii_g2283.t2, acastellanii_g6121.t1
